"Molecule ChEMBL ID";"Molecule Name";"Molecule Max Phase";"Molecular Weight";"#RO5 Violations";"AlogP";"Compound Key";"Smiles";"Standard Type";"Standard Relation";"Standard Value";"Standard Units";"pChEMBL Value";"Data Validity Comment";"Comment";"Uo Units";"Ligand Efficiency BEI";"Ligand Efficiency LE";"Ligand Efficiency LLE";"Ligand Efficiency SEI";"Potential Duplicate";"Assay ChEMBL ID";"Assay Description";"Assay Type";"BAO Format ID";"BAO Label";"Assay Organism";"Assay Tissue ChEMBL ID";"Assay Tissue Name";"Assay Cell Type";"Assay Subcellular Fraction";"Assay Parameters";"Assay Variant Accession";"Assay Variant Mutation";"Target ChEMBL ID";"Target Name";"Target Organism";"Target Type";"Document ChEMBL ID";"Source ID";"Source Description";"Document Journal";"Document Year";"Cell ChEMBL ID";"Properties"
"CHEMBL527507";"";"0";"315.98";"1";"-0.28";"GNF-Pf-677";"OP1(O)=NP(O)(O)=NP(O)(O)=NP(O)(O)=N1";"IFI";"'='";"1.515";"%";"";"";"";"UO_0000187";"";"";"";"";"False";"CHEMBL1040694";"NOVARTIS: Inhibition Frequency Index (IFI) - the number of HTS assays where a compound showed > 50% inhibition/induction, expressed as a percentage of the number of assays in which the compound was tested.";"F";"BAO_0000019";"assay format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL612545";"Unchecked";"";"UNCHECKED";"CHEMBL1156829";"3";"Novartis Malaria Screening";"Proc. Natl. Acad. Sci. U.S.A.";"2008";"None";""
"CHEMBL581699";"";"0";"368.37";"0";"3.83";"GNF-Pf-597";"COc1ccccc1-c1nnc(Nc2nc3cc4c(cc3s2)OCO4)o1";"IFI";"'='";"0.0";"%";"";"";"";"UO_0000187";"";"";"";"";"False";"CHEMBL1040694";"NOVARTIS: Inhibition Frequency Index (IFI) - the number of HTS assays where a compound showed > 50% inhibition/induction, expressed as a percentage of the number of assays in which the compound was tested.";"F";"BAO_0000019";"assay format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL612545";"Unchecked";"";"UNCHECKED";"CHEMBL1156829";"3";"Novartis Malaria Screening";"Proc. Natl. Acad. Sci. U.S.A.";"2008";"None";""
"CHEMBL578065";"";"0";"461.56";"1";"5.10";"GNF-Pf-5591";"CCC(C)OC(=O)C1=C(C)NC2=C(C(=O)CC(c3ccc(OC)cc3)C2)C1c1ccc(O)cc1";"IFI";"'='";"4.545";"%";"";"";"";"UO_0000187";"";"";"";"";"False";"CHEMBL1040694";"NOVARTIS: Inhibition Frequency Index (IFI) - the number of HTS assays where a compound showed > 50% inhibition/induction, expressed as a percentage of the number of assays in which the compound was tested.";"F";"BAO_0000019";"assay format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL612545";"Unchecked";"";"UNCHECKED";"CHEMBL1156829";"3";"Novartis Malaria Screening";"Proc. Natl. Acad. Sci. U.S.A.";"2008";"None";""
"CHEMBL533576";"";"0";"313.38";"0";"3.08";"GNF-Pf-5013";"CSc1ccc(C=CC(=O)NC(=O)c2ccccc2O)cc1";"IFI";"";"";"";"";"";"Not applicable";"";"";"";"";"";"False";"CHEMBL1040694";"NOVARTIS: Inhibition Frequency Index (IFI) - the number of HTS assays where a compound showed > 50% inhibition/induction, expressed as a percentage of the number of assays in which the compound was tested.";"F";"BAO_0000019";"assay format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL612545";"Unchecked";"";"UNCHECKED";"CHEMBL1156829";"3";"Novartis Malaria Screening";"Proc. Natl. Acad. Sci. U.S.A.";"2008";"None";""
"CHEMBL600359";"";"0";"469.63";"1";"7.08";"GNF-Pf-5027";"Cc1ccn2c(NC(C)(C)CC(C)(C)C)c(-c3ccccc3OC(=O)Cc3ccccc3)nc2c1";"IFI";"'='";"3.738";"%";"";"";"";"UO_0000187";"";"";"";"";"False";"CHEMBL1040694";"NOVARTIS: Inhibition Frequency Index (IFI) - the number of HTS assays where a compound showed > 50% inhibition/induction, expressed as a percentage of the number of assays in which the compound was tested.";"F";"BAO_0000019";"assay format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL612545";"Unchecked";"";"UNCHECKED";"CHEMBL1156829";"3";"Novartis Malaria Screening";"Proc. Natl. Acad. Sci. U.S.A.";"2008";"None";""
"CHEMBL601754";"";"0";"408.48";"0";"3.77";"GNF-Pf-5035";"CC(C)COc1nc(-c2ccccc2)n(S(=O)(=O)c2cccc3cccnc23)n1";"IFI";"'='";"4.167";"%";"";"";"";"UO_0000187";"";"";"";"";"False";"CHEMBL1040694";"NOVARTIS: Inhibition Frequency Index (IFI) - the number of HTS assays where a compound showed > 50% inhibition/induction, expressed as a percentage of the number of assays in which the compound was tested.";"F";"BAO_0000019";"assay format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL612545";"Unchecked";"";"UNCHECKED";"CHEMBL1156829";"3";"Novartis Malaria Screening";"Proc. Natl. Acad. Sci. U.S.A.";"2008";"None";""
"CHEMBL585829";"";"0";"375.26";"0";"4.86";"GNF-Pf-5038";"CCC(=O)NC(c1ccccc1Cl)c1cc(Cl)c2cccnc2c1O";"IFI";"'='";"15.38";"%";"";"";"";"UO_0000187";"";"";"";"";"False";"CHEMBL1040694";"NOVARTIS: Inhibition Frequency Index (IFI) - the number of HTS assays where a compound showed > 50% inhibition/induction, expressed as a percentage of the number of assays in which the compound was tested.";"F";"BAO_0000019";"assay format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL612545";"Unchecked";"";"UNCHECKED";"CHEMBL1156829";"3";"Novartis Malaria Screening";"Proc. Natl. Acad. Sci. U.S.A.";"2008";"None";""
"CHEMBL585048";"";"0";"531.67";"2";"5.55";"GNF-Pf-5081";"CCCCN(CC)CCNC(=O)C1c2ccccc2C(=O)N(Cc2ccc(F)cc2)C1c1ccc(OC)cc1";"IFI";"'='";"0.0";"%";"";"";"";"UO_0000187";"";"";"";"";"False";"CHEMBL1040694";"NOVARTIS: Inhibition Frequency Index (IFI) - the number of HTS assays where a compound showed > 50% inhibition/induction, expressed as a percentage of the number of assays in which the compound was tested.";"F";"BAO_0000019";"assay format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL612545";"Unchecked";"";"UNCHECKED";"CHEMBL1156829";"3";"Novartis Malaria Screening";"Proc. Natl. Acad. Sci. U.S.A.";"2008";"None";""
"CHEMBL586006";"";"0";"423.53";"0";"4.68";"GNF-Pf-5095";"CCOC(=O)C1=C(C)NC2=C(C(=O)CC(c3ccc(OC)cc3)C2)C1c1cccs1";"IFI";"'='";"0.0";"%";"";"";"";"UO_0000187";"";"";"";"";"False";"CHEMBL1040694";"NOVARTIS: Inhibition Frequency Index (IFI) - the number of HTS assays where a compound showed > 50% inhibition/induction, expressed as a percentage of the number of assays in which the compound was tested.";"F";"BAO_0000019";"assay format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL612545";"Unchecked";"";"UNCHECKED";"CHEMBL1156829";"3";"Novartis Malaria Screening";"Proc. Natl. Acad. Sci. U.S.A.";"2008";"None";""
"CHEMBL583164";"";"0";"486.03";"1";"6.26";"GNF-Pf-5098";"COc1cc(NC(C)CCCN(Cc2ccc(F)cc2)C(=O)C(C)(C)CCl)c2ncccc2c1";"IFI";"'='";"1.053";"%";"";"";"";"UO_0000187";"";"";"";"";"False";"CHEMBL1040694";"NOVARTIS: Inhibition Frequency Index (IFI) - the number of HTS assays where a compound showed > 50% inhibition/induction, expressed as a percentage of the number of assays in which the compound was tested.";"F";"BAO_0000019";"assay format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL612545";"Unchecked";"";"UNCHECKED";"CHEMBL1156829";"3";"Novartis Malaria Screening";"Proc. Natl. Acad. Sci. U.S.A.";"2008";"None";""
